plant,rule,axis,factor,kp,ki,kd,survived,rise_s,settle_s,overshoot_pct,iae,u_tv
easy L/T=0.1,Pessen-Integral,tau,1.40,5.72269,37.16031,0.33049,1,0.3200,1.2800,21.453,0.36233,3.3264
easy L/T=0.1,Pessen-Integral,tau,1.70,5.72269,37.16031,0.33049,1,0.3900,1.8200,19.814,0.41648,3.7736
easy L/T=0.1,Pessen-Integral,tau,2.00,5.72269,37.16031,0.33049,1,0.4500,2.0500,18.578,0.46915,4.2011
easy L/T=0.1,Pessen-Integral,delay,0.50,5.72269,37.16031,0.33049,1,0.2300,1.0600,16.542,0.23661,2.1855
easy L/T=0.1,Pessen-Integral,delay,0.70,5.72269,37.16031,0.33049,1,0.2300,1.0400,17.085,0.25740,2.5936
easy L/T=0.1,Pessen-Integral,delay,1.00,5.72269,37.16031,0.33049,1,0.2300,1.0500,24.595,0.29037,4.9196
easy L/T=0.1,Pessen-Integral,delay,1.40,5.72269,37.16031,0.33049,0,0.2300,20.0000,34.870,3.40750,250.8503
easy L/T=0.1,Pessen-Integral,delay,1.70,5.72269,37.16031,0.33049,0,0.2300,20.0000,42.356,5.20508,220.4767
easy L/T=0.1,Pessen-Integral,delay,2.00,5.72269,37.16031,0.33049,0,0.2300,20.0000,49.635,7.41652,192.6802
easy L/T=0.1,Some-Overshoot,gain,0.50,2.69784,14.01475,0.34622,1,0.5400,2.5600,17.834,0.56097,2.0135
easy L/T=0.1,Some-Overshoot,gain,0.70,2.69784,14.01475,0.34622,1,0.3500,2.7500,27.083,0.50284,2.4512
easy L/T=0.1,Some-Overshoot,gain,1.00,2.69784,14.01475,0.34622,1,0.2300,2.3500,36.308,0.46052,2.6184
easy L/T=0.1,Some-Overshoot,gain,1.40,2.69784,14.01475,0.34622,0,0.1800,20.0000,36.363,2.38085,396.4787
easy L/T=0.1,Some-Overshoot,gain,1.70,2.69784,14.01475,0.34622,0,0.1400,20.0000,50.533,4.33943,601.9511
easy L/T=0.1,Some-Overshoot,gain,2.00,2.69784,14.01475,0.34622,0,0.1000,20.0000,56.007,5.82785,621.4056
easy L/T=0.1,Some-Overshoot,tau,0.50,2.69784,14.01475,0.34622,1,0.1200,19.9900,43.152,5.71829,616.2462
easy L/T=0.1,Some-Overshoot,tau,0.70,2.69784,14.01475,0.34622,1,0.2000,19.9900,33.083,2.56563,431.4678
easy L/T=0.1,Some-Overshoot,tau,1.00,2.69784,14.01475,0.34622,1,0.2300,2.3500,36.308,0.46052,2.6184
